更新时间: 2026-01-01 19:40:49（北京时间）

更新时间,#genre#
2026-01-01 19:40:49,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
湖南卫视,http://113.101.244.14:10000/rtp/239.77.0.56:5146$广东电信
湖南卫视,http://111.113.88.146:2000/rtp/239.121.4.114:8666$宁夏电信
湖南卫视,http://58.48.104.87:8989/rtp/239.254.96.139:8908$湖北电信
浙江卫视,http://211.158.153.37:8002/rtp/225.0.4.81:7980$四川联通
浙江卫视,http://211.158.153.37:8002/rtp/225.0.4.105:7980$四川联通
浙江卫视,http://113.25.107.189:10000/rtp/239.1.1.38:8038$山西电信
浙江卫视,http://112.226.186.244:1025/udp/239.253.254.84:8000$山东联通
浙江卫视,http://115.45.243.189:8888/rtp/239.77.0.89:5146$广东电信
浙江卫视,http://115.45.243.189:8888/rtp/239.77.0.58:5146$广东电信
浙江卫视,http://113.120.108.164:4000/rtp/239.21.1.90:5002$山东电信
浙江卫视,http://113.101.244.14:10000/rtp/239.77.0.89:5146$广东电信
浙江卫视,http://113.101.244.14:10000/rtp/239.77.0.58:5146$广东电信
浙江卫视,http://111.113.88.146:2000/rtp/239.121.4.116:8678$宁夏电信
浙江卫视,http://58.48.104.87:8989/rtp/239.254.96.143:8932$湖北电信
江苏卫视,http://211.158.153.37:8002/rtp/225.0.4.79:7980$四川联通
江苏卫视,http://113.25.107.189:10000/rtp/239.1.1.35:8035$山西电信
江苏卫视,http://112.226.186.244:1025/udp/239.253.254.83:8000$山东联通
江苏卫视,http://115.45.243.189:8888/rtp/239.77.1.18:5146$广东电信
江苏卫视,http://113.120.108.164:4000/rtp/239.21.1.89:5002$山东电信
江苏卫视,http://113.101.244.14:10000/rtp/239.77.1.18:5146$广东电信
江苏卫视,http://111.113.88.146:2000/rtp/239.121.4.115:8672$宁夏电信
江苏卫视,http://58.48.104.87:8989/rtp/239.254.96.144:8938$湖北电信
东方卫视,http://211.158.153.37:8002/rtp/225.0.4.80:7980$四川联通
东方卫视,http://211.158.153.37:8002/rtp/225.0.4.103:7980$四川联通
东方卫视,http://112.226.186.244:1025/udp/239.253.254.86:8000$山东联通
东方卫视,http://115.45.243.189:8888/rtp/239.77.1.218:5146$广东电信
东方卫视,http://115.45.243.189:8888/rtp/239.77.0.59:5146$广东电信
东方卫视,http://113.120.108.164:4000/rtp/239.21.1.111:5002$山东电信
东方卫视,http://113.101.244.14:10000/rtp/239.77.1.218:5146$广东电信
东方卫视,http://113.101.244.14:10000/rtp/239.77.0.59:5146$广东电信
东方卫视,http://111.113.88.146:2000/rtp/239.121.4.109:8636$宁夏电信
东方卫视,http://58.48.104.87:8989/rtp/239.254.96.142:8926$湖北电信
深圳卫视,http://211.158.153.37:8002/rtp/225.0.4.202:7980$四川联通
深圳卫视,http://211.158.153.37:8002/rtp/225.0.4.101:7980$四川联通
深圳卫视,http://113.25.107.189:10000/rtp/239.1.1.39:8039$山西电信
深圳卫视,http://112.226.186.244:1025/udp/239.253.254.91:8000$山东联通
深圳卫视,http://115.45.243.189:8888/rtp/239.77.0.92:5146$广东电信
深圳卫视,http://115.45.243.189:8888/rtp/239.77.0.67:5146$广东电信
深圳卫视,http://115.45.243.189:8888/rtp/239.77.1.14:5146$广东电信
深圳卫视,http://113.120.108.164:4000/rtp/239.21.1.93:5002$山东电信
深圳卫视,http://113.101.244.14:10000/rtp/239.77.0.92:5146$广东电信
深圳卫视,http://113.101.244.14:10000/rtp/239.77.0.67:5146$广东电信
深圳卫视,http://113.101.244.14:10000/rtp/239.77.1.14:5146$广东电信
深圳卫视,http://111.113.88.146:2000/rtp/239.121.4.119:8696$宁夏电信
深圳卫视,http://58.48.104.87:8989/rtp/239.254.96.137:8896$湖北电信
北京卫视,http://211.158.153.37:8002/rtp/225.0.4.78:7980$四川联通
北京卫视,http://211.158.153.37:8002/rtp/225.0.4.123:7980$四川联通
北京卫视,http://211.158.153.37:8002/rtp/225.0.4.122:7980$四川联通
北京卫视,http://113.25.107.189:10000/rtp/239.1.1.41:8041$山西电信
北京卫视,http://112.226.186.244:1025/udp/239.253.254.85:8000$山东联通
北京卫视,http://115.45.243.189:8888/rtp/239.77.0.91:5146$广东电信
北京卫视,http://115.45.243.189:8888/rtp/239.77.0.2:5146$广东电信
北京卫视,http://115.45.243.189:8888/rtp/239.77.0.3:5146$广东电信
北京卫视,http://115.45.243.189:8888/rtp/239.77.0.153:5146$广东电信
北京卫视,http://115.45.243.189:8888/rtp/239.77.0.233:5146$广东电信
北京卫视,http://115.45.243.189:8888/rtp/239.77.1.13:5146$广东电信
北京卫视,http://113.120.108.164:4000/rtp/239.21.1.88:5002$山东电信
北京卫视,http://113.101.244.14:10000/rtp/239.77.0.91:5146$广东电信
北京卫视,http://113.101.244.14:10000/rtp/239.77.0.2:5146$广东电信
北京卫视,http://113.101.244.14:10000/rtp/239.77.0.3:5146$广东电信
北京卫视,http://113.101.244.14:10000/rtp/239.77.0.153:5146$广东电信
北京卫视,http://113.101.244.14:10000/rtp/239.77.0.233:5146$广东电信
北京卫视,http://113.101.244.14:10000/rtp/239.77.1.13:5146$广东电信
北京卫视,http://111.113.88.146:2000/rtp/239.121.4.117:8684$宁夏电信
北京卫视,http://58.48.104.87:8989/rtp/239.254.96.141:8920$湖北电信
广东卫视,http://211.158.153.37:8002/rtp/225.0.4.84:7980$四川联通
广东卫视,http://211.158.153.37:8002/rtp/225.0.4.102:7980$四川联通
广东卫视,http://113.25.107.189:10000/rtp/239.1.1.49:8049$山西电信
广东卫视,http://112.226.186.244:1025/udp/239.253.254.90:8000$山东联通
广东卫视,http://115.45.243.189:8888/rtp/239.77.0.84:5146$广东电信
广东卫视,http://115.45.243.189:8888/rtp/239.77.0.27:5146$广东电信
广东卫视,http://115.45.243.189:8888/rtp/239.77.0.65:5146$广东电信
广东卫视,http://115.45.243.189:8888/rtp/239.77.0.66:5146$广东电信
广东卫视,http://113.120.108.164:4000/rtp/239.21.1.92:5002$山东电信
广东卫视,http://113.101.244.14:10000/rtp/239.77.0.84:5146$广东电信
广东卫视,http://113.101.244.14:10000/rtp/239.77.0.27:5146$广东电信
广东卫视,http://113.101.244.14:10000/rtp/239.77.0.65:5146$广东电信
广东卫视,http://113.101.244.14:10000/rtp/239.77.0.66:5146$广东电信
广东卫视,http://111.113.88.146:2000/rtp/239.121.4.118:8690$宁夏电信
广东卫视,http://58.48.104.87:8989/rtp/239.254.96.140:8914$湖北电信
广西卫视,http://113.25.107.189:10000/rtp/239.1.1.40:8040$山西电信
广西卫视,http://112.226.186.244:1025/udp/239.253.254.197:8000$山东联通
广西卫视,http://115.45.243.189:8888/rtp/239.77.0.139:5146$广东电信
广西卫视,http://113.101.244.14:10000/rtp/239.77.0.139:5146$广东电信
广西卫视,http://111.113.88.146:2000/rtp/239.121.4.47:8256$宁夏电信
广西卫视,http://58.48.104.87:8989/rtp/239.69.1.191:10788$湖北电信
东南卫视,http://211.158.153.37:8002/rtp/225.0.4.200:7980$四川联通
东南卫视,http://113.25.107.189:10000/rtp/239.1.1.33:8033$山西电信
东南卫视,http://112.226.186.244:1025/udp/239.253.254.105:8000$山东联通
东南卫视,http://115.45.243.189:8888/rtp/239.77.0.146:5146$广东电信
东南卫视,http://113.120.108.164:4000/rtp/239.21.1.113:5002$山东电信
东南卫视,http://113.101.244.14:10000/rtp/239.77.0.146:5146$广东电信
东南卫视,http://111.113.88.146:2000/rtp/239.121.4.102:9226$宁夏电信
东南卫视,http://58.48.104.87:8989/rtp/239.69.1.108:10286$湖北电信
海南卫视,http://113.25.107.189:10000/rtp/239.1.1.55:8055$山西电信
海南卫视,http://112.226.186.244:1025/udp/239.253.254.179:8000$山东联通
海南卫视,http://115.45.243.189:8888/rtp/239.253.43.35:5146$广东电信
海南卫视,http://113.120.108.164:4000/rtp/239.21.2.14:5002$山东电信
海南卫视,http://113.101.244.14:10000/rtp/239.253.43.35:5146$广东电信
海南卫视,http://111.113.88.146:2000/rtp/239.121.4.50:8274$宁夏电信
海南卫视,http://58.48.104.87:8989/rtp/239.69.1.151:10542$湖北电信
河北卫视,http://211.158.153.37:8002/rtp/225.0.4.174:7980$四川联通
河北卫视,http://113.25.107.189:10000/rtp/239.1.1.48:8048$山西电信
河北卫视,http://112.226.186.244:1025/udp/239.253.254.112:8000$山东联通
河北卫视,http://115.45.243.189:8888/rtp/239.77.1.214:5146$广东电信
河北卫视,http://113.120.108.164:4000/rtp/239.21.1.168:5002$山东电信
河北卫视,http://113.101.244.14:10000/rtp/239.77.1.214:5146$广东电信
河北卫视,http://111.113.88.146:2000/rtp/239.121.4.76:8430$宁夏电信
河北卫视,http://58.48.104.87:8989/rtp/239.254.96.113:9616$湖北电信
河南卫视,http://113.25.107.189:10000/rtp/239.1.1.34:8034$山西电信
